Country_asylum,Year,TotalRefugees,Totalasylum,Totaldisplaced,Displacedgrowth
Sweden,2012,92869,22830,115699,10.495754901679893
Sweden,2013,114172,27705,141877,22.62595182326554
Sweden,2014,142197,56748,198945,40.22357394080788
Sweden,2015,169516,157017,326533,64.13229787127095
Sweden,2016,230158,83040,313198,-4.083813887110951
Sweden,2017,240954,51588,292542,-6.595188985881135
Sweden,2018,248210,37892,286102,-2.20139330420931
Sweden,2019,253787,28006,281793,-1.5061062138677814
Sweden,2020,248372,18603,266975,-5.258469869727069
Sweden,2021,240854,13954,254808,-4.557355557636482
Sweden,2022,277726,14469,292195,14.672616244387932
Sweden,2023,237632,11271,248903,-14.816133061825152
Sweden,2024,223204,9448,232652,-6.52904946907028
Switzerland,2007,45642,10729,56371,-75.77024912745216
Switzerland,2008,46131,17155,63286,12.266945769988116
Switzerland,2009,46204,17127,63331,0.07110577378883165
Switzerland,2010,48813,12884,61697,-2.580095056133647
Switzerland,2011,50401,16893,67294,9.071753894030504
Switzerland,2012,50733,21670,72403,7.592058727375398
Switzerland,2013,52448,22087,74535,2.9446293661864837
Switzerland,2014,62596,20805,83401,11.895082846984637
Switzerland,2015,73326,32691,106017,27.11718084915049
Switzerland,2016,82668,30778,113446,7.007366743069508
Switzerland,2017,93030,23728,116758,2.9194506637519173
Switzerland,2018,104011,14776,118787,1.7377824217612496
Switzerland,2019,110162,11200,121362,2.1677456287304167
Switzerland,2020,115798,6547,122345,0.8099734678070566
Switzerland,2021,118829,7109,125938,2.936777146593649
Switzerland,2022,182474,14904,197378,56.7263256523051
Switzerland,2023,192507,18884,211391,7.09957543393894
Switzerland,2024,194024,16786,210810,-0.2748461381988826
United Kingdom of Great Britain and Northern Ireland,2007,299701,10800,310501,10756.678321678322
United Kingdom of Great Britain and Northern Ireland,2008,292081,13600,305681,-1.5523299441869751
United Kingdom of Great Britain and Northern Ireland,2009,269355,12406,281761,-7.825151056166396
United Kingdom of Great Britain and Northern Ireland,2010,238133,14880,253013,-10.202973442030657
United Kingdom of Great Britain and Northern Ireland,2011,193494,16861,210355,-16.860003240940188
United Kingdom of Great Britain and Northern Ireland,2012,149790,18896,168686,-19.80889448788952
United Kingdom of Great Britain and Northern Ireland,2013,126036,25100,151136,-10.40394579277474
United Kingdom of Great Britain and Northern Ireland,2014,117226,36354,153580,1.617086597501588
United Kingdom of Great Britain and Northern Ireland,2015,123051,45853,168904,9.977861700742285
United Kingdom of Great Britain and Northern Ireland,2016,118973,43496,162469,-3.80985648652489
United Kingdom of Great Britain and Northern Ireland,2017,121821,40354,162175,-0.1809575980648616
United Kingdom of Great Britain and Northern Ireland,2018,126708,45234,171942,6.022506551564668
United Kingdom of Great Britain and Northern Ireland,2019,133083,61947,195030,13.427783787556269
United Kingdom of Great Britain and Northern Ireland,2020,132304,77245,209549,7.444495718607394
United Kingdom of Great Britain and Northern Ireland,2021,137078,104897,241975,15.47418503548096
United Kingdom of Great Britain and Northern Ireland,2022,328989,167289,496278,105.09474119227194
United Kingdom of Great Britain and Northern Ireland,2023,448620,138156,586776,18.235343899991538
United Kingdom of Great Britain and Northern Ireland,2024,482780,128285,611065,4.139399021091523
