Country,Year,HPI,HPIgrowth,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Totaldisplaced,Displacedgrowth,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000,Housing_Supply
Czechia,2013,93.9,0,1.4382978723404,213024360541.11862,-0.0418124078092319,2966,292,3258,-2.630005977286312,10514272,0,6.6906474820143895,0.2820927592514251,NA
Czechia,2014,96.2,2.4494142705005295,0.343988589646794,210911285077.68277,2.245212186064876,3129,459,3588,10.128913443830571,10525347,2.4494142705005295,5.495616992582603,0.29728236038203776,NA
Czechia,2015,100,3.950103950103947,0.309364548494975,189107698561.9188,4.95875849031782,3640,654,4294,19.67670011148272,10546059,3.950103950103947,16.331096196868007,0.3451526300014062,2.9
Czechia,2016,107.2,7.200000000000002,0.683504209385703,198160659303.93896,2.5808701467578317,3640,769,4409,2.6781555659059153,10566332,7.200000000000002,0,0.3444904059421945,3.1
Czechia,2017,119.7,11.66044776119403,2.4505339846014,221563575696.2173,5.17356528805017,3640,799,4439,0.6804264005443411,10594438,11.66044776119403,0,0.3435765068425527,3.6
Czechia,2018,130,8.604845446950707,2.14949494949493,251992360762.23602,2.8303058941211248,2186,1910,4096,-7.726965532777652,10629928,8.604845446950707,-39.94505494505495,0.20564579553125853,3.7
Czechia,2019,141.9,9.153846153846159,2.8478759591805,256794209028.76953,3.565776572048435,2054,1632,3686,-10.009765625,10671870,9.153846153846159,-6.038426349496798,0.19246861140549876,4.3
Czechia,2020,153.9,8.456659619450317,3.16129528497801,251109660602.53552,-5.30487954551279,1919,1537,3456,-6.239826370048833,10697858,8.456659619450317,-6.572541382667965,0.17938170426266642,4.1
Czechia,2021,184.2,19.68810916179336,3.83984491500146,290972714482.31274,4.029018306338543,1909,1073,2982,-13.715277777777779,10505772,19.68810916179336,-0.5211047420531527,0.1817096354270776,4.9
Czechia,2022,215.3,16.88382193268188,15.1001651468371,301831228325.55554,2.847170657171489,435212,986,436198,14527.699530516433,10672118,16.88382193268188,22697.90466212677,40.78028372624815,4.5
Czechia,2023,211.7,-1.6720854621458534,10.6612601372426,343207874553.7345,-0.08533027592737596,377120,1239,378359,-13.259804033947887,10864042,-1.6720854621458534,-13.347977537384079,34.712678761735276,3.7
Denmark,2010,90.66,2.800771062478738,2.31092436974789,322345594075.47015,1.5828970207819566,17907,3334,21241,-1.1402773899283254,5547683,-57.17524799244214,-95.25164403903267,3.227834034496924,NA
Denmark,2011,89.12,-1.69865431281711,2.7586822605125,344315595263.17456,1.3108037793961387,13386,1415,14801,-30.318723223953675,5570572,-1.69865431281711,-25.247110068688222,2.4029848281289605,NA
